Health,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta,BETA,SEBeta
Air Pollutant:,AQHI,,CO,,O3,,PM2.5,
Female,0.014316831,0.004333992,0.02004368,0.00818818,-0.000820294,0.00047617,0.000737047,0.000532894
Male,0.014713269,0.003801696,0.03692009,0.007184627,-0.001752812,0.000417383,0.001227679,0.000456571
Warm All,0.009074417,0.0040253,0.02918734,0.01306385,-0.000142084,0.000395207,0.000637835,0.00048094
Warm Female,0.015381472,0.005212076,0.01099375,0.01704056,0.00053048,0.000512151,0.001071488,0.000635329
Warm Male,0.004928523,0.004654752,0.040965221,0.015031868,-0.000583018,0.000456442,0.000342019,0.000542259
Cold All,0.017545,0.002785552,0.03106523,0.004517288,-0.002366064,0.000326781,0.001129214,0.000338529
Cold Female,0.012985538,0.003802615,0.020806406,0.006162231,-0.001835315,0.000445419,0.00039099,0.000468074
Cold Male,0.02062394,0.003242558,0.03804438,0.005262332,-0.002725915,0.000381266,0.001622023,0.00040504
Age 0-10 All,0.011888748,0.007021365,0.03123451,0.0131299,-0.002095281,0.000756162,0.001086435,0.00085477
Age 0-10 Female,0.011281928,0.009834433,0.04434885,0.01825903,-0.001783604,0.001058806,-0.000148928,0.001214777
Age 0-10 Male,0.012364668,0.008751086,0.02109746,0.01646191,-0.002334785,0.00094315,0.001995556,0.001082842
Age 11-60 All,0.01440233,0.003509317,0.02828742,0.006629459,-0.001334341,0.000386015,0.001192759,0.000425627
Age 11-60 Female,0.014051181,0.004904959,0.013432937,0.009266866,-0.000790419,0.000539088,0.001000452,0.000606828
Age 11-60 Male,0.014637833,0.004091134,0.03708667,0.007722204,-0.001655524,0.000449827,0.001305305,0.000490475
Age 60+All,0.018883188,0.007795965,0.042814216,0.015052505,-0.000704691,0.000872552,-0.000164576,0.000933476
Age 60+ Female,0.018134252,0.009906008,0.02685779,0.01901838,2.97398E-05,0.001104563,0.000330612,0.001164415
Age 60+ Male,0.01998067,0.01128428,0.066735923,0.021978404,-0.001777219,0.001268059,-0.000852001,0.001358963
All:LAG 4,0.011079623,0.003317329,0.03368676,0.006250691,-0.001225513,0.000361424,0.000568249,0.00039906
Female,0.0148536,0.004377431,0.03529202,0.008253579,-0.001138093,0.00047756,0.000632932,0.000538086
Male,0.008571034,0.003839908,0.03264886,0.007245422,-0.001285199,0.000418007,0.000525904,0.000460507
Warm All,0.0017262,0.004028894,0.003528955,0.013172585,-9.39072E-06,0.000395592,-0.000443961,0.000483107
Warm Female,0.006540069,0.005222852,0.005147815,0.017142606,4.18203E-05,0.000512132,-0.000806959,0.00064847
Warm Male,-0.001455178,0.004633629,0.002402404,0.015113455,-4.43337E-05,0.000455432,-0.000211822,0.000536725
Cold All,0.01622636,0.002832235,0.0386699,0.00453621,-0.00220835,0.000328259,0.000997911,0.000343788
Cold Female,0.019085,0.003848527,0.03959069,0.006191313,-0.002040705,0.000447431,0.001332853,0.000472449
Cold Male,0.01432027,0.003290739,0.03810461,0.005276461,-0.002321477,0.000381036,0.000773191,0.00041247
Age 0-10 All,0.00071328,0.007083603,0.03106752,0.01323593,-0.001204279,0.000753625,0.000259602,0.000863843
