Edmonton,,,,,,,,,,,,,,,,Toronto,,,,,,,,,,,,,,,,Both,,,,,,,,,,,,,,,
Cold Female,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,,0,2,3,2,2,0,1,1,0,0,1,0,1,0,0
Cold Male,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0
Age 0-10 All,0,1,0,1,0,0,-1,-1,-1,0,0,-1,-1,0,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
Age 0-10 Female,0,0,0,1,1,0,-1,-1,-1,0,-1,0,0,0,0,,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Age 0-10 Male,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Age 11-60 All,0,0,1,0,0,-1,-1,0,0,0,0,0,1,0,0,,0,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,,0,1,3,1,0,0,0,0,0,0,0,0,2,0,0
Age 11-60 Female,0,0,0,0,0,0,-1,0,0,1,0,1,1,0,0,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,0,2,0,2,2,0,0
Age 11-60 Male,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,-1,0,0,0,0,0,-1,,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0
Age 60+All,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0
Age 60+ Female,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0
