Strata,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.4,,,O3,,IQR=14.0,,,PM2.5,,IQR=9.1,,
Age 11-60 All,0.007880413,0.003572986,1.007911545,1.000877745,1.014995,0.02868295,0.00677226,1.011539249,1.006182763,1.016924251,-0.00153989,0.000388566,0.978672263,0.968292846,0.989163,0.000838778,0.000430517,1.007662084,0.99995418,1.015429
Age 11-60 Female,0.009556375,0.004974588,1.009602183,0.999806201,1.019494,0.032495278,0.009418336,1.013082954,1.005629925,1.02059122,-0.00128645,0.000541886,0.982150916,0.967655008,0.996864,0.000955857,0.000609893,1.008736239,0.997822621,1.019769
Age 11-60 Male,0.006903448,0.004134219,1.006927332,0.998801098,1.015120,0.02643165,0.007851102,1.010628748,1.004427167,1.016868619,-0.001688425,0.000449543,0.976639238,0.964665944,0.988761,0.000771801,0.00049272,1.007048111,0.998236791,1.015937
Age 60+All,0.01520819,0.00784544,1.015324423,0.999831142,1.031058,0.040134022,0.015175106,1.01618316,1.004164975,1.028345183,-0.00147437,0.000866436,0.979570391,0.956555772,1.003139,0.001014708,0.000943303,1.009276606,0.992437829,1.026401
Age 60+ Female,0.017193419,0.009926877,1.017342077,0.997739299,1.037330,0.03945404,0.01910518,1.015906803,1.000803477,1.031238057,-0.001534287,0.001097116,0.978749035,0.949723033,1.008662,0.001430634,0.001173029,1.013103883,0.992127774,1.034523
Age 60+ Male,0.012228,0.01139493,1.012303068,0.989944832,1.035166,0.04102653,0.02221626,1.016546006,0.998993571,1.034406839,-0.001402445,0.00125681,0.980557266,0.947317383,1.014963,0.000424396,0.00137167,1.003869471,0.979607691,1.028732
All: LAG 6,0.000818173,0.003375153,1.000818508,0.994219644,1.007461,0.030998479,0.006407585,1.012476583,1.007403114,1.017575603,-0.001414813,0.000362812,0.980387495,0.970675611,0.990197,-5.88E-05,0.000404313,0.999465063,0.992283519,1.006699
Female,-0.003264298,0.004452459,0.996741024,0.988080489,1.005477,0.029255088,0.008453099,1.011770772,1.005087704,1.018498277,-0.001276256,0.000478315,0.982291095,0.969482798,0.995269,-0.00047871,0.000543295,0.995653214,0.986051721,1.005348
Male,0.003535134,0.003879809,1.00354139,0.995938977,1.011202,0.03216253,0.007382692,1.012948122,1.007102082,1.018828097,-0.001506704,0.00041786,0.979127063,0.967964434,0.990418,0.000212865,0.000462864,1.001938949,0.993701349,1.010245
Warm All,-0.02485699,0.004082312,0.975449401,0.967675649,0.983286,-0.03337917,0.01352899,0.98673707,0.976326328,0.997258824,-0.000389271,0.000395657,0.994565029,0.983825611,1.005422,-0.002451332,0.000486189,0.977939843,0.969496138,0.986457
Warm Female,-0.03187827,0.005272864,0.968624486,0.958665483,0.978687,-0.054861934,0.017548985,0.978294261,0.964926663,0.991847048,0.000209199,0.000510063,1.002933079,0.988993675,1.017069,-0.002877469,0.000646613,0.974154886,0.962984505,0.985455
Warm Male,-0.02026336,0.004697242,0.979940562,0.97096005,0.989004,-0.01969516,0.01547719,0.992152887,0.980186734,1.004265123,-0.000783593,0.00045415,0.989089652,0.976840224,1.001493,-0.00217213,0.000542313,0.980427691,0.970990031,0.989957
Cold All,0.0153018,0.002887179,1.015419472,1.009689572,1.021182,0.0404534,0.004660741,1.016312987,1.012606135,1.020033409,-0.002236083,0.00033293,0.969179771,0.960366054,0.978074,0.001157207,0.000350049,1.010586225,1.004296313,1.016916
Cold Female,0.012706492,0.003913515,1.012787562,1.005048705,1.020586,0.04109461,0.006319094,1.016573689,1.011549865,1.021622463,-0.002437466,0.000449697,0.966451151,0.954598725,0.978451,0.000851564,0.000481576,1.007779335,0.999160196,1.016473
Cold Male,0.01703809,0.003329874,1.017184066,1.010566977,1.023844,0.04004576,0.005401383,1.016147285,1.01185332,1.020459472,-0.002099827,0.000385684,0.971030327,0.960807937,0.981361,0.001349193,0.000414602,1.012353336,1.004894755,1.019867
Age 0-10 All,-0.009247682,0.007123718,0.990794946,0.977057115,1.004726,0.01199974,0.01341207,1.004811434,0.994301134,1.015432834,0.00073187,0.000747316,1.010298852,0.989792285,1.031230,-0.002030732,0.000880619,0.981690041,0.96639137,0.997231
Age 0-10 Female,-0.018260673,0.009994206,0.981905043,0.962858017,1.001329,0.00795738,0.01879569,1.003188023,0.988513609,1.018080277,0.001584382,0.001040622,1.022429183,0.993646947,1.052045,-0.00407782,0.001277051,0.963571908,0.941872237,0.985772
Age 0-10 Male,-0.002504118,0.008850218,0.997499015,0.98034518,1.014953,0.01507891,0.01667762,1.006049791,0.992981059,1.019290521,6.98E-05,0.000933624,1.000977044,0.975659062,1.026952,-0.000600845,0.001100856,0.994547231,0.975209892,1.014268
Age 11-60 All,0.001037216,0.003607949,1.001037754,0.993983806,1.008142,0.03180181,0.006853606,1.012801977,1.007374556,1.018258638,-0.001676963,0.000388347,0.97679597,0.96644226,0.987261,0.000112982,0.000433272,1.001028665,0.99332269,1.008794
Age 11-60 Female,-0.001816865,0.005017744,0.998184785,0.988415974,1.008050,0.029128145,0.00954384,1.011719398,1.004177589,1.019317849,-0.001538194,0.000540593,0.9786955,0.964284804,0.993322,-0.000133992,0.000609378,0.998781416,0.987984575,1.009696
Age 11-60 Male,0.002716853,0.004166372,1.002720547,0.994565584,1.010942,0.03337749,0.007924525,1.013440519,1.007163706,1.019756449,-0.001758318,0.000448966,0.975684062,0.963737736,0.987778,0.000251626,0.000495866,1.00229242,0.993466964,1.011196
Age 60+All,0.01216569,0.007880241,1.012239993,0.99672579,1.027996,0.051021154,0.015229557,1.020618138,1.008504448,1.032877332,-0.002467427,0.000868352,0.966045854,0.943299393,0.989341,0.001067245,0.000943834,1.009759243,0.99290301,1.026902
Age 60+ Female,0.004015395,0.010034389,1.004023467,0.984469849,1.023965,0.051310431,0.019180639,1.020736242,1.00550163,1.036201677,-0.003062569,0.001097876,0.958030211,0.929599265,0.987331,0.000952258,0.001184984,1.008703202,0.987607599,1.030249
Age 60+ Male,0.02360436,0.01132653,1.023885148,1.001405348,1.046870,0.05029113,0.02228659,1.020320151,1.002647263,1.038304546,-0.001585855,0.001261834,0.97804268,0.944757786,1.012500,0.001194932,0.001348625,1.010933217,0.986906284,1.035545
All: LAG 7,0.002299883,0.003363299,1.00230253,0.995717015,1.008932,0.020811398,0.006397559,1.008359305,1.003314353,1.013429624,-0.000668185,0.000363871,0.990689028,0.980846593,1.000630,0.000431085,0.000402584,1.003930578,0.996747686,1.011165
Female,-0.004955826,0.004450684,0.995056434,0.986413968,1.003775,0.016790528,0.008472253,1.006738816,1.000073968,1.01344808,-0.000299314,0.000480399,0.995818371,0.982777488,1.009032,-0.000391507,0.000543819,0.996443625,0.986825287,1.006156
Male,0.00715803,0.003861989,1.00718371,0.999588616,1.014837,0.023524288,0.007353021,1.009454126,1.003651598,1.015290201,-0.000915282,0.000418743,0.987267801,0.975988714,0.998677,0.000971013,0.000460142,1.008875373,1.000629324,1.017189
Warm All,-0.012905398,0.004079764,0.98717752,0.979315192,0.995103,-0.02340255,0.0136259,0.990682658,0.980155814,1.001322559,9.02E-05,0.000394547,1.001263504,0.990481923,1.012162,-0.001091091,0.00048973,0.990120201,0.981509337,0.998807
Warm Female,-0.02276,0.00529473,0.977497055,0.967405367,0.987694,-0.0476857,0.01780995,0.981106483,0.96750249,0.994901761,0.000392239,0.000511043,1.005506451,0.991504618,1.019706,-0.002385236,0.000658197,0.978528225,0.96710786,0.990083
Warm Male,-0.006410237,0.004682969,0.993610265,0.984532021,1.002772,-0.007813896,0.015560019,0.996879321,0.984792211,1.009114785,-0.000109472,0.00045322,0.998468566,0.986128148,1.010963,-0.00027282,0.000538776,0.997520417,0.987980547,1.007152
Cold All,0.011171522,0.002891807,1.011234156,1.005518753,1.016982,0.02754517,0.00468695,1.01107899,1.007370529,1.014801104,-0.001281107,0.000336433,0.982224386,0.97319849,0.991334,0.001230497,0.000348366,1.01126045,1.004996508,1.017563
Cold Female,0.005110177,0.003914274,1.005123256,0.997441479,1.012864,0.026139847,0.006346069,1.010510793,1.005495667,1.015550934,-0.00082818,0.000453469,0.988472437,0.976248895,1.000849,0.000732174,0.000479817,1.006685029,0.998106562,1.015337
Cold Male,0.015258,0.003326989,1.015374998,1.008775381,1.022018,0.02851543,0.005405972,1.01147147,1.007193641,1.015767469,-0.001587681,0.000388314,0.978017677,0.967651894,0.988495,0.001564604,0.000412778,1.014339738,1.006899279,1.021835
Age 0-10 All,0.005641692,0.007094071,1.005657636,0.991771355,1.019738,0.01220236,0.01347519,1.004892875,0.994332516,1.015565391,0.001394565,0.000750672,1.019715748,0.998926047,1.040938,3.36E-06,0.000866442,1.000030545,0.984695015,1.015605
Age 0-10 Female,-0.000921353,0.009954124,0.999079071,0.979775871,1.018763,0.005422187,0.01886158,1.002171229,0.987460677,1.017100928,0.002218449,0.001048234,1.031545627,1.00229738,1.061647,-0.001363146,0.00124028,0.987671992,0.966062968,1.009764
Age 0-10 Male,0.010620936,0.008811177,1.010677538,0.993373085,1.028283,0.01741548,0.01676834,1.006990512,0.993838872,1.020316191,0.000763608,0.000936101,1.01074786,0.985115782,1.037047,0.000991898,0.00109262,1.009067131,0.989592835,1.028925
Age 11-60 All,0.001215924,0.003602119,1.001216664,0.994172815,1.008310,0.021118312,0.006845531,1.008483104,1.003085178,1.013910078,-0.001041192,0.000389983,0.985529038,0.975038988,0.996132,0.000351466,0.000433614,1.003203461,0.995474672,1.010992
Age 11-60 Female,-0.004883808,0.005025325,0.995128098,0.985374561,1.004978,0.018366202,0.009563295,1.007373532,0.999848869,1.014954825,-0.000654346,0.000542972,0.990880989,0.976227139,1.005755,-0.000364547,0.000616568,0.996688119,0.985787481,1.007709
Age 11-60 Male,0.004798402,0.004156949,1.004809933,0.996656384,1.013030,0.022740272,0.007902482,1.009137604,1.002904774,1.01540917,-0.001269807,0.000450909,0.982379786,0.970299744,0.994610,0.000765149,0.000494403,1.006987153,0.998146404,1.015906
Age 60+All,0.005899395,0.007874979,1.005916831,0.990509755,1.021564,0.03013397,0.01517878,1.012126525,1.000153436,1.024242947,-0.000702758,0.000869215,0.990209629,0.966871312,1.014111,0.001563185,0.0009336,1.01432664,0.997576236,1.031358
Age 60+ Female,-0.009532245,0.010011337,0.990513043,0.971266426,1.010141,0.02044618,0.01918886,1.008212007,0.99315792,1.023494281,-0.001223605,0.001100034,0.983015422,0.953786523,1.013140,0.000367425,0.001170406,1.003349163,0.982620994,1.024515
Age 60+ Male,0.02811734,0.01134793,1.028516363,1.005892691,1.051649,0.04440611,0.02208546,1.017921134,1.000447543,1.035699915,6.74E-05,0.001261699,1.000943699,0.966883017,1.036204,0.003267612,0.00133871,1.030181777,1.005875229,1.055076
All: LAG 8,0.001756754,0.003381202,1.001758298,0.995141439,1.008419,0.015972165,0.006380254,1.006409318,1.001387709,1.011456109,-0.000270061,0.000365924,0.996226284,0.986273274,1.006280,0.000132836,0.000408974,1.001209539,0.993932827,1.008540
Female,0.000428598,0.004481206,1.00042869,0.991680237,1.009254,0.010975942,0.008435528,1.004400029,0.997779392,1.011064596,6.69E-05,0.000484517,1.000937521,0.987717982,1.014334,-0.000198577,0.000551996,0.998194581,0.988415176,1.008071
Male,0.00266613,0.003886883,1.002669687,0.995060081,1.010337,0.019357474,0.007349942,1.007773044,1.001982598,1.013596953,-0.00049265,0.000420872,0.99312663,0.981723255,1.004662,0.000350654,0.000466955,1.003196048,0.994875517,1.011586
Warm All,-0.011426741,0.004102605,0.988638296,0.980720428,0.996620,-0.02974878,0.01360526,0.988171007,0.977686673,0.998767772,0.001016904,0.000396665,1.01433848,1.003357793,1.025439,-0.001618984,0.000499917,0.985375242,0.976628179,0.994201
Warm Female,-0.011518538,0.005352411,0.988547546,0.978231173,0.998973,-0.04086244,0.01777992,0.983787878,0.970169546,0.997597372,0.001437974,0.000515853,1.020335644,1.005994525,1.034881,-0.001822766,0.000668873,0.983549639,0.971885588,0.995354
Warm Male,-0.01136376,0.004700519,0.988700564,0.97963348,0.997852,-0.02276477,0.0155671,0.990935425,0.97891495,1.003103504,0.000746211,0.000455368,1.010501714,0.997953753,1.023207,-0.001490532,0.000550805,0.986527733,0.97688338,0.996267
Cold All,0.00958598,0.002906904,1.009632073,1.003896018,1.015401,0.0235123,0.004676715,1.009449285,1.005754871,1.01315727,-0.001303185,0.000337633,0.981920835,0.972865694,0.991060,0.001066036,0.000352506,1.009748134,1.003419464,1.016117
Cold Female,0.007285832,0.003936399,1.007312438,0.999570582,1.015114,0.018854805,0.006327782,1.007570434,1.002584274,1.012581391,-0.00100781,0.000456862,0.98598973,0.973706229,0.998428,0.000675271,0.000484141,1.006163885,0.997512925,1.014890
Cold Male,0.011156433,0.003352732,1.011218898,1.004595606,1.017886,0.02671797,0.005404104,1.0107445,1.006471219,1.015035925,-0.001503471,0.000389731,0.979171382,0.968755702,0.989699,0.001329007,0.000417178,1.012167391,1.00466402,1.019727
Age 0-10 All,0.006300107,0.007144242,1.006319994,0.992326982,1.020510,0.009856464,0.013396981,1.003950368,0.993460827,1.014550664,0.001616982,0.000756053,1.022895926,1.001893444,1.044339,0.000236197,0.000877302,1.002151704,0.986592526,1.017956
Age 0-10 Female,0.002498145,0.010043027,1.002501268,0.982960652,1.022430,-0.005373238,0.018758603,0.997853013,0.983285228,1.012636625,0.002747422,0.00105545,1.03921322,1.009547651,1.069751,-0.000756684,0.001249585,0.993137829,0.971248014,1.015521
Age 0-10 Male,0.009321243,0.008860667,1.009364821,0.991986615,1.027047,0.02154357,0.01666282,1.008654665,0.995563647,1.021917821,0.000753285,0.000942863,1.010601795,0.984790677,1.037089,0.000968122,0.001107969,1.008848832,0.989107928,1.028984
Age 11-60 All,0.000437654,0.003622436,1.00043775,0.993359823,1.007566,0.013968559,0.006833206,1.005603062,1.000230217,1.011004769,-0.000524173,0.000392455,0.992688438,0.982055566,1.003436,6.95E-05,0.000440295,1.000632609,0.992805314,1.008522
Age 11-60 Female,0.00124517,0.005063137,1.001245946,0.991358972,1.011232,0.0105913,0.0095249,1.004245507,0.996774212,1.011772802,-0.000375898,0.000548349,0.994751251,0.979895576,1.009832,-3.42E-05,0.000627449,0.999689262,0.988563928,1.010940
Age 11-60 Male,-3.21E-05,0.004183382,0.999967882,0.99180224,1.008201,0.015973658,0.007907046,1.006409919,1.000190357,1.012668157,-0.000611286,0.000453376,0.991478511,0.979220295,1.003890,0.000131169,0.000500298,1.001194351,0.99230012,1.010168
Age 60+All,0.005510343,0.007938699,1.005525553,0.990000821,1.021294,0.039980492,0.015203866,1.016120756,1.004080669,1.028305218,-0.001003061,0.000876224,0.986055287,0.962629727,1.010051,0.000469685,0.0009485,1.004283281,0.987436278,1.021418
Age 60+ Female,-0.005653981,0.010065969,0.994361973,0.974936167,1.014175,0.02897251,0.01916402,1.011656417,0.996570307,1.0269709,-0.000615312,0.001109163,0.991422629,0.961702814,1.022061,-0.000447772,0.001188174,0.995933565,0.975049542,1.017265
Age 60+ Male,0.02175386,0.01148945,1.0219922,0.999234831,1.045268,0.05640314,0.02223387,1.022817686,1.005143082,1.040803083,-0.001562428,0.001271749,0.978363509,0.94481061,1.013108,0.001762619,0.001362605,1.016169162,0.99177046,1.041168
All: LAG 9,0.004216864,0.003403158,1.004225767,0.997549681,1.010947,0.019646851,0.00641346,1.007889701,1.002834598,1.012970287,-0.000491398,0.000366479,0.993144038,0.983206848,1.003182,0.000344231,0.000409438,1.003137414,0.995838449,1.010490
Female,0.008916789,0.004502116,1.008956662,1.000092646,1.017899,0.026390721,0.008446382,1.010612203,1.003942075,1.017326647,-0.000368019,0.00048542,0.994860984,0.981697374,1.008201,0.000534012,0.000550135,1.004871336,0.995059546,1.014780
Male,0.001105135,0.003910362,1.001105746,0.99346229,1.008808,0.015124547,0.007398842,1.006068156,1.000249158,1.011921006,-0.000574425,0.000420803,0.9919903,0.980601829,1.003511,0.000221973,0.000468602,1.002021996,0.993682012,1.010432
Warm All,-0.002988477,0.004125273,0.997015984,0.988987079,1.005110,-0.01232823,0.01376427,0.995080847,0.984400473,1.005877098,0.000892142,0.000399405,1.012568314,1.001531486,1.023727,-0.000969764,0.000498205,0.991213972,0.982445078,1.000061
Warm Female,0.002216507,0.005366531,1.002218965,0.991732472,1.012816,-0.01096423,0.01789243,0.995623911,0.981755133,1.009688607,0.00108332,0.000518939,1.015282075,1.000927223,1.029843,-0.000957735,0.000664569,0.99132248,0.97964145,1.003143
Warm Male,-0.006399635,0.004722094,0.993620799,0.984466962,1.002860,-0.01336694,0.01576724,0.994667493,0.982447578,1.007039401,0.000770818,0.000457869,1.01084989,0.998229097,1.023630,-0.000977795,0.000549176,0.991141535,0.981480594,1.000898
Cold All,0.008289045,0.002931066,1.008323494,1.002547395,1.014133,0.02481034,0.004704301,1.009973544,1.006255448,1.013705377,-0.001590056,0.000336851,0.977985159,0.968987104,0.987067,0.001037931,0.000353324,1.009489919,1.003148231,1.015872
Cold Female,0.012329669,0.003957174,1.012405993,1.004584083,1.020289,0.03172633,0.006335335,1.012771399,1.007753534,1.017814249,-0.001488257,0.000456149,0.979379963,0.96719773,0.991716,0.001346403,0.000482521,1.012327634,1.003652678,1.021078
Cold Male,0.005611878,0.003377978,1.005627654,0.99899155,1.012308,0.020190191,0.005442584,1.008108776,1.003816354,1.012419552,-0.001663447,0.000387918,0.976980821,0.96663653,0.987436,0.000835729,0.000419731,1.007634126,1.000118819,1.015206
Age 0-10 All,0.013648129,0.007176965,1.01374169,0.999581365,1.028103,0.02670948,0.01342321,1.010741067,1.000160008,1.021434068,-8.81E-05,0.000757525,0.998767049,0.978220477,1.019745,0.000752485,0.000884521,1.006871112,0.991111039,1.022882
Age 0-10 Female,0.026403179,0.010083827,1.026754831,1.006660964,1.047250,0.02467259,0.01879444,1.009917896,0.995146014,1.02490905,0.000344267,0.001062314,1.004831372,0.975963434,1.034553,0.001878013,0.001265603,1.017236786,0.994531629,1.040460
Age 0-10 Male,0.004158227,0.008911432,1.004166884,0.986779983,1.021860,0.02831676,0.01671356,1.011391094,0.99822485,1.024730996,-0.000418696,0.000941474,0.994155403,0.968801256,1.020173,-4.91E-05,0.001114716,0.999553393,0.979876455,1.019625
Age 11-60 All,0.003620656,0.003648867,1.003627218,0.996475104,1.010831,0.019263035,0.006867714,1.007734976,1.002323622,1.013175544,-0.000492853,0.000393424,0.993123808,0.982460149,1.003903,0.000359022,0.000440892,1.003272443,0.995413899,1.011193
Age 11-60 Female,0.009166597,0.005080762,1.009208739,0.999208617,1.019309,0.030437186,0.009506427,1.01224929,1.004733001,1.019821807,-0.000441642,0.000549002,0.993836087,0.978976537,1.008921,0.000456985,0.000623095,1.004167222,0.993069171,1.015389
Age 11-60 Male,0.000376484,0.004214232,1.000376555,0.992147582,1.008674,0.012617124,0.007966324,1.005059606,0.99880197,1.011356448,-0.000524441,0.000453882,0.992684714,0.980397972,1.005125,0.00030375,0.000502933,1.002767949,0.993813031,1.011804
Age 60+All,-0.003684972,0.00797776,0.996321809,0.98086408,1.012023,0.01280761,0.01541194,1.005136189,0.993064247,1.017354881,-0.00105832,0.000875043,0.985292744,0.961916472,1.009237,-0.000244779,0.00093921,0.99777499,0.981199733,1.014630
Age 60+ Female,-0.009064867,0.01017224,0.990976095,0.971414077,1.010932,0.008172434,0.01949745,1.003274323,0.988054889,1.018728188,-0.000759276,0.001109721,0.989426433,0.959751763,1.020019,-0.000235962,0.001176492,0.99785505,0.977134309,1.019015
Age 60+ Male,0.00378237,0.01146622,1.003789532,0.98148218,1.026604,0.01941885,0.02240745,1.007797786,0.990247962,1.025658639,-0.001489157,0.001267897,0.979367623,0.945880261,1.014041,-0.000263421,0.001355775,0.99760574,0.973771372,1.022023
All: LAG 10,0.000911036,0.003428099,1.000911451,0.994208796,1.007659,0.01535495,0.00644918,1.006160881,1.001086413,1.011261071,-0.000458695,0.000369512,0.993598845,0.983575242,1.003725,0.0004345,0.000410071,1.003961777,0.996645562,1.011332
Female,0.002043231,0.004522622,1.00204532,0.993202103,1.010967,0.022906675,0.008455732,1.009204776,1.002536588,1.015917316,-0.000472076,0.000487675,0.993412728,0.980207626,1.006796,0.000377557,0.000548426,1.003441678,0.993674136,1.013305
Male,0.000159895,0.003940029,1.000159908,0.992465962,1.007913,0.010205801,0.007446722,1.004090664,0.998245631,1.009969922,-0.000447367,0.000424645,0.993756435,0.98224413,1.005404,0.000472783,0.000471097,1.004311594,0.995908233,1.012786
Warm All,-0.006784761,0.004133251,0.993238204,0.985224315,1.001317,0.002609832,0.013890627,1.001044478,0.990201998,1.012005681,0.000321259,0.00040345,1.004507756,0.993448513,1.015690,-0.001147308,0.000491861,0.98961381,0.980970064,0.998334
Warm Female,-0.00655018,0.005365872,0.993471226,0.983077532,1.003975,-0.005702803,0.018106561,0.997721479,0.983658333,1.011985682,0.000564484,0.000523309,1.007934085,0.993563978,1.022512,-0.001481961,0.00064938,0.986604682,0.975243411,0.998098
Warm Male,-0.006920605,0.004729004,0.993103287,0.983940892,1.002351,0.007942724,0.015846779,1.003182142,0.990795835,1.015723295,0.000165796,0.000461803,1.00232384,0.989702654,1.015106,-0.000931776,0.000545337,0.991556685,0.981958932,1.001248
Cold All,0.005652879,0.002955288,1.005668887,0.999860524,1.011511,0.01914355,0.004727472,1.007686813,1.003958898,1.011428571,-0.001065498,0.000339252,0.985193735,0.976065048,0.994408,0.00140085,0.0003554,1.012829334,1.006429401,1.019270
Cold Female,0.006972904,0.003982363,1.006997271,0.999167819,1.014888,0.02834136,0.006330727,1.011401046,1.006393606,1.016433401,-0.001260183,0.000457136,0.982512157,0.970264685,0.994914,0.001551755,0.000485017,1.014221142,1.005485196,1.023033
Cold Male,0.004759861,0.003411446,1.004771207,0.998075281,1.011512,0.012834916,0.005486494,1.005147168,1.000832902,1.009480031,-0.000931631,0.00039186,0.987041855,0.976485408,0.997712,0.001299685,0.000424012,1.011897351,1.004273561,1.019579
Age 0-10 All,0.010022406,0.007200386,1.010072799,0.995918004,1.024429,0.01888673,0.01345978,1.007583301,0.997006713,1.018272088,0.000547813,0.000761949,1.007698867,0.986848745,1.028990,0.00094398,0.000867128,1.00862722,0.993147708,1.024348
Age 0-10 Female,0.01984198,0.01010559,1.020040141,1.000035024,1.040445,0.02509025,0.01877541,1.010086631,0.995327131,1.025064996,0.000787997,0.001066324,1.011093034,0.981937152,1.041115,0.001351057,0.00122845,1.012370508,0.990430071,1.034797
Age 0-10 Male,0.002707893,0.008943807,1.002711563,0.985287336,1.020444,0.01411688,0.016799,1.005662725,0.992504568,1.018995327,0.000372265,0.000948522,1.005225315,0.979399418,1.031732,0.000640678,0.001100206,1.005847198,0.986301585,1.025780
Age 11-60 All,0.000609078,0.003672051,1.000609264,0.993433512,1.007837,0.016715919,0.006891639,1.006708771,1.001284146,1.012162785,-0.000678222,0.000396112,0.990549828,0.979841533,1.001375,0.00045092,0.000442194,1.004111802,0.996223549,1.012063
Age 11-60 Female,0.001737513,0.005101067,1.001739023,0.991773447,1.011805,0.027949157,0.009499829,1.011242389,1.003738769,1.018802103,-0.000930961,0.00055086,0.987051114,0.972243441,1.002084,0.000329535,0.000621388,1.003003269,0.991948282,1.014181
Age 11-60 Male,-4.73E-05,0.004241586,0.999952721,0.991674065,1.008300,0.009982096,0.008001177,1.00400082,0.997722513,1.010318635,-0.000530737,0.00045738,0.992597219,0.980217469,1.005133,0.000523539,0.000506838,1.004775572,0.99573337,1.013900
Age 60+All,-0.00858012,0.008030729,0.991456584,0.975973008,1.007186,-0.000160869,0.015557365,0.999935654,0.987813542,1.012206525,-0.000201256,0.000881921,0.997186382,0.973344212,1.021613,-0.000284707,0.000945783,0.99741252,0.980728301,1.014381
Age 60+ Female,-0.01346106,0.01020406,0.986629135,0.96709261,1.006560,-0.00405084,0.01961466,0.998380976,0.983145425,1.013852628,0.000405833,0.00111589,1.005697833,0.975370032,1.036969,-0.000237783,0.001185654,0.997838514,0.976958456,1.019165
Age 60+ Male,-0.001689954,0.011587534,0.998311473,0.97589379,1.021244,0.005528075,0.022700476,1.002213677,0.984534889,1.020209913,-0.001090478,0.001280061,0.984849253,0.950857028,1.020057,-0.000346189,0.001362231,0.996854637,0.972926176,1.021372
All: LAG 11,-0.000288032,0.003440884,0.999712009,0.992992503,1.006477,0.011533616,0.006477764,1.004624105,0.999534988,1.009739133,-0.00045471,0.000369246,0.99365428,0.983637297,1.003773,5.08E-05,0.000411014,1.00046233,0.993154913,1.007824
Female,0.001293089,0.004538485,1.001293925,0.992426483,1.010241,0.012240934,0.008520919,1.00490838,0.998217564,1.011644044,-0.00067935,0.000487138,0.990534186,0.97738175,1.003864,-0.000195711,0.000551279,0.998220615,0.988453595,1.008084
Male,-0.001372432,0.003944993,0.998628509,0.990936703,1.006380,0.010996095,0.007443124,1.004408125,0.998564061,1.010286392,-0.00030446,0.000423341,0.995746631,0.984246488,1.007381,0.000211601,0.000469855,1.001927424,0.993566023,1.010359
Warm All,-0.010599274,0.004135675,0.9894567,0.98146866,0.997510,-0.000897861,0.013937917,0.99964092,0.988776982,1.010624223,0.000317034,0.000403821,1.004448341,0.99337964,1.015640,-0.00114368,0.000484956,0.989646483,0.981123276,0.998244
Warm Female,-0.00296453,0.005381747,0.99703986,0.986578133,1.007613,-0.005020354,0.018173395,0.997993873,0.983875334,1.012315013,0.00052591,0.000524273,1.007389912,0.993001295,1.021987,-0.000926667,0.000642847,0.991602786,0.98029818,1.003038
Warm Male,-0.01565584,0.004704795,0.984466076,0.97542965,0.993586,0.001790015,0.01583558,1.000716262,0.98836908,1.013217692,0.000178174,0.000460144,1.00249755,0.98991924,1.015236,-0.00128935,0.000534839,0.988335479,0.97895219,0.997809
Cold All,0.005763812,0.002971095,1.005780455,0.999940468,1.011655,0.014667359,0.004751449,1.005884188,1.002144103,1.009638231,-0.001054582,0.00033852,0.985344308,0.976233834,0.994540,0.000790025,0.000359861,1.007215132,1.000771044,1.013701
Cold Female,0.003634398,0.00400119,1.00364101,0.995800907,1.011543,0.015391474,0.006389992,1.00617558,1.001147494,1.01122892,-0.001580731,0.000455656,0.978112843,0.965959439,0.990419,0.000272159,0.000490117,1.002479716,0.993754505,1.011282
Cold Male,0.007189666,0.003429943,1.007215574,1.000467087,1.014010,0.014115734,0.005494442,1.005662264,1.001339547,1.010003641,-0.000697622,0.000391171,0.990280831,0.979708265,1.000967,0.001135809,0.000427899,1.010389461,1.002707514,1.018130
Age 0-10 All,0.006349635,0.00723794,1.006369837,0.9921939,1.020748,0.009394049,0.013566312,1.003764688,0.993145233,1.014497695,0.000223844,0.000760926,1.003138732,0.982410539,1.024304,-0.001036933,0.00087646,0.99060829,0.975242978,1.006216
Age 0-10 Female,0.02142354,0.01014769,1.021654672,1.001535245,1.042178,0.004828351,0.018981548,1.001933207,0.9871333,1.016955006,0.001215796,0.001063007,1.017166829,0.987925718,1.047273,-0.000423151,0.001254573,0.99615673,0.974113709,1.018699
Age 0-10 Male,-0.005005543,0.008991116,0.995006964,0.977625966,1.012697,0.01279537,0.01688574,1.005131268,0.991912608,1.018526086,-0.00053434,0.000948022,0.992547151,0.967060246,1.018706,-0.001476794,0.001108244,0.986651072,0.967339784,1.006348
Age 11-60 All,-0.000717965,0.003682847,0.999282293,0.992095065,1.006522,0.011585531,0.006927098,1.004644967,0.999203685,1.01011588,-0.000506333,0.000395832,0.992936403,0.982209855,1.003780,0.000464357,0.000441041,1.004234589,0.996365861,1.012165
