Strata,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI,BETA,SEBeta,RR,Low95CI,Upper95%CI
Air Pollutant:,AQHI,,IQR=1,,,CO,,IQR=0.4,,,O3,,IQR=14.0,,,PM2.5,,IQR=9.1,,
Cold All,0.01771044,0.002648906,1.0178682,1.01259727,1.023167,0.02944299,0.004263372,1.01184682,1.008470385,1.01523456,-0.001875692,0.000307849,0.974082099,0.965888318,0.982345,0.000989248,0.000337693,1.009042798,1.002983506,1.015139
Cold Female,0.0146258,0.003721282,1.01473328,1.007359033,1.022162,0.02483521,0.005991295,1.009983591,1.005250645,1.01473882,-0.000403391,0.000432182,0.994368443,0.982645801,1.006231,-9.64E-05,0.000476897,0.999123387,0.99066095,1.007658
Cold Male,0.01980043,0.003148113,1.019997759,1.013723442,1.026311,0.0325392,0.005068667,1.013100753,1.009082846,1.017134658,-0.002865972,0.000364574,0.960670685,0.951108133,0.970329,0.001702081,0.000406938,1.015609512,1.008264757,1.023008
Age 0-10 All,0.00795021,0.006872612,1.007981897,0.994495098,1.021652,0.02556898,0.01278541,1.010280073,1.000203851,1.020457803,-0.002426923,0.00072759,0.966593811,0.947487067,0.986086,0.000816228,0.000860999,1.007455328,0.992102249,1.023046
Age 0-10 Female,0.010973349,0.009809589,1.011033777,0.991780521,1.030661,0.0364903,0.01812969,1.014703164,1.000382516,1.029228813,-0.002438167,0.001033082,0.966441666,0.939429871,0.994230,0.000356595,0.001236102,1.003250285,0.981373556,1.025615
Age 0-10 Male,0.005736017,0.00865215,1.005752499,0.988840537,1.022954,0.01722604,0.01618265,1.00691421,0.994219987,1.019770512,-0.002422233,0.000920787,0.96665728,0.942539305,0.991392,0.00115652,0.001102761,1.010579908,0.990897171,1.030654
Age 11-60 All,0.01451332,0.003325378,1.01461915,1.008027629,1.021254,0.02951018,0.006247462,1.011874015,1.006929964,1.016842342,-0.000888248,0.000361304,0.987641529,0.977898249,0.997482,0.000991693,0.000412652,1.009065249,1.001665731,1.016519
Age 11-60 Female,0.013173398,0.004804467,1.013260549,1.003763708,1.022847,0.018732816,0.009050344,1.00752127,1.000397736,1.014695529,0.000835244,0.000520851,1.011762051,0.997404638,1.026326,0.000336453,0.00061286,1.003066414,0.992161633,1.014091
Age 11-60 Male,0.01526149,0.00393871,1.015378541,1.007570128,1.023247,0.03575664,0.007386908,1.014405428,1.008547644,1.020297235,-0.00189687,0.00042685,0.973793335,0.96245406,0.985266,0.001357924,0.00047695,1.012433773,1.00385765,1.021083
Age 60+All,0.010872896,0.007784845,1.010932221,0.995624202,1.026476,0.0219916,0.01494313,1.008835444,0.997085482,1.020723872,-0.000987971,0.000857503,0.986263623,0.963327852,1.009745,-0.001001158,0.000949367,0.990930837,0.974292758,1.007853
